18	TOTAL18	NONE18	DAT18	DLYA18	NONE 18%	DAT 18%	DLYA18 %	TOTAL21	NONE21	DAT21	DLYA21	NONE21 %	DAT21%	DLYA21%	TOTAL18ipm	TOTAL21ipm	D.TOTAL	Ñéãü àáåÖçÖçàâ	0åàçìë,1èãûë	D.NONE%	D.DAT%	D.DLYA%
XUDOY_ADV	127	127	0	0	100	0	0	353	353	0	0	100	0	0	34,32	21,79	-12,53	0,37	0	0,00	0,00	0,00
XUDOY_COMPJJ	101	99	1	1	98,01980198	0,99009901	0,99009901	321	296	23	2	92,21183801	7,165109034	0,62305296	27,30	19,81	-7,48	0,27	0	-5,81	6,18	-0,37
XUDOY_PRED	66	57	8	1	86,36363636	12,12121212	1,515151515	163	73	88	2	44,78527607	53,98773006	1,226993865	17,84	10,06	-7,78	0,44	0	-41,58	41,87	-0,29
XUDOY_SHJJ	62	59	1	2	95,16129032	1,612903226	3,225806452	125	125	0	0	100	0	0	16,76	7,72	-9,04	0,54	0	4,84	-1,61	-3,23
ZHARKY_JJ	89	89	0	0	100	0	0	95	95	0	0	100	0	0	24,05	5,86	-18,19	0,76	0	0,00	0,00	0,00
ZHARKY_ADV	1	0	0	0	0	0	0	16	16	0	0	100	0	0	0,27	0,99	0,72	2,65	1	100,00	0,00	0,00
ZHARKY_PRED	1	0	0	0	0	0	0	64	44	20	0	68,75	31,25	0	0,27	3,95	3,68	13,62	1	68,75	31,25	0,00
NAD+NUZH_JJ	570	448	38	84	78,60	6,67	14,74															
NAD+NUZH_SHJJ	567	259	180	128	45,68	31,75	22,57															
NAD+NUZH_PRED	1430	1028	305	97	71,89	21,33	6,78															
PLOHOY+HUD_JJ	546	543	0	3	99,45	0,00	0,55															
PLOHOY+HUD_SHJJ	89	85	1	3	95,51	1,12	3,37															
PLOHOY+HUD_PRED	66	57	8	1	86,36	12,12	1,52															
		5051	1346	506					11253	3137	477											
									-1058	-23	-2											
									-1721	-839	-108											
									8474	2275	367											
																						
																						
																						
										1172												
										1743												
										727												
										616												
